Course,Job Profile 1,Skill 1,Skill 2,Skill 3,Skill 4
Information Systems Analysis and Design,Business Analyst,Software Project Management,Requirement Gathering,Requirement Analysis,Business Analysis
Database Management Systems,Business Analyst,SQL,MS SQL,Databases,Database Design
Software Project Management,Business Analyst,Software Project Management,Software Development Life Cycle,,
Computer-Based Decision Models,Data Analyst,Analytics,,,
Business Intelligence and Data Warehousing,Data Analyst,Business Intelligence,,,
Big Data Modeling and Analytics,Data Analyst,Big Data Analysis with Hadoop,,,
"Dashboards, Scorecards, and Visualization",Data Analyst,Tableau,Data Analytics,,
Data Science Analysis with Python,Data Analyst,Python,Data Analytics,,
Database Management Systems,Database Analyst,SQL,MS SQL,Databases,Database Design
Business Intelligence and Data Warehousing,Database Analyst,Business Intelligence,,,
